id,name,type,birth,age,country,position
Lohuis,Juliet Lohuis,0,2,3,1,1
Todorova,Mira Todorova,0,2,2,2,1
Timmerman,Eline Timmerman,0,3,4,1,1
Kohn,Hannah Kohn,0,5,5,3,2
Van de Vyver,Ilka Van de Vyver,0,1,2,4,2
Nowicka,Julia Nowicka,0,3,4,5,2
Lee,Simone Lee,0,2,3,6,3
Palleres,Maria Segura Palleres,0,4,2,7,3
Jasper,Hesper Jasper,0,4,5,1,3
Dornheim,Helena Dornheim,0,5,5,3,3
Rivers,Krystal Rivers,0,2,2,6,4
Berger,Lara Berger,0,4,5,3,4
Koskelo,Roosa Koskelo,0,1,2,8,5
Grundt,Lena Grundt,0,5,5,3,5
SU,Set Up 65,1,,,,
TTP,Talent Team Papendal,1,,,,
EA,Eurosped Almelo,1,,,,
CA,Coolen Alterno,1,,,,
USCM,USC Muenster,1,,,,
RCC,RC Cannes,1,,,,
VLC,Volero Le Cannet,1,,,,
VZ,Volero Zuerich,1,,,,
LCVB,Le Cannet Volley Ball,1,,,,
SAP,SmAesch Pfeffingen,1,,,,
CVM,VC Maritza,1,,,,
AA,Alterno Apeldoorn,1,,,,
ET,Eurosped Twente,1,,,,
LIBA,Ladies in Black Aachen,1,,,,
VFBU,VfB Ulm,1,,,,
OSPS,Olympiastuetzpunkt Stuttgart,1,,,,
BSPS,Bundesstuetzpunkt Stuttgart,1,,,,
AK,Asterix Kieldricht,1,,,,
IBF,Il Bisonte Firenze,1,,,,
CL,Calcit Ljubljana,1,,,,
RRV,Rote Raben Vilsbiburg,1,,,,
CSMT,CSM Targoviste,1,,,,
GBL,Grot Budowlani Lodz,1,,,,
BKSPCBB,BKS Profi Credit Bielsko Biala,1,,,,
KSPBU,KS Palac Bydgoszcz U20,1,,,,
SMSPZPSS,SMS PZPS Szczyrk,1,,,,
KAF,Kurobe AquaFairies,1,,,,
B,Beylikduezue,1,,,,
IVC,Imoco Volley Conegliano,1,,,,
PSU,Penn State University,1,,,,
BVMB,Banca Valsabbina Millenium Brescia,1,,,,
DSC,Dresdner SC 1898,1,,,,
BSBC,Bosca San Bernardo Cuneo,1,,,,
STM,Saugella Team Monza,1,,,,
DIT,Delta Informatica Trentino,1,,,,
GHO,Geovillage Hermaea Olbia,1,,,,
CVB,CV Barcelona,1,,,,
VFBSLT,VfB Suhl Lotto Thueringen,1,,,,
VCS,VC Sneek,1,,,,
AMTVS,Allianz MTV Stuttgart 2,1,,,,
UOA,University of Alabama,1,,,,
BA,Beziers Angels,1,,,,
LBMNE,Luka Bar MNE,1,,,,
FVTM,FV Tuebinger Modell,1,,,,
BSPMTVS,BSP MTV Stuttgart,1,,,,
VCOB,VCO Berlin,1,,,,
OKNKBMB,OK Nova KBM Branik,1,,,,
LPV,LP Viesti,1,,,,
LPK,LP Kangasala,1,,,,
HL,Haemeenlinnan Lentopallokerho,1,,,,
K,Kimmo,1,,,,
SP,Someron Pallo,1,,,,
EJMTVS,Eigene Jugend MTV Stuttgart,1,,,,
Niederl,Niederlande,,,,1,
Bulgar,Bulgarien,,,,2,
Dtld,Deutschland,,,,3,
Belg,Belgien,,,,4,
Pol,Polen,,,,5,
USA,USA,,,,6,
Span,Spanien,,,,7,
Finnl,Finnland,,,,8,
